block,num_clips
1,10
2,12
3,13
4,5
5,1
6,1
7,13
8,32
9,6
10,2
11,46
12,42
13,30
14,1
15,1
16,31
17,16
18,4
19,7
20,6
21,1
22,1
23,23
24,3
25,9
26,68
27,18
28,6
29,3
30,4
31,12
32,4
33,1
34,10
35,3
36,1
37,1
38,1
39,5
40,1
41,16
42,5
43,3
44,1
45,1
46,1
47,5
48,1
49,3
50,3
51,1
52,3
53,1
54,1
55,1
56,1
57,10
58,25
59,7
60,24
61,1
62,1
63,2
64,1
65,1
66,3
67,1
68,1
69,11
70,5
71,1
72,1
73,1
74,7
75,1
76,14
77,1
78,20
79,3
80,5
81,3
82,11
83,139
84,7
85,49
86,7
87,1
88,19
89,17
90,3
91,9
92,21
93,4
94,16
95,7
96,1
97,6
98,7
99,1
100,3
101,1
102,6
103,6
104,5
105,3
106,1
107,4
108,8
109,3
110,22
111,1
112,118
113,35
114,6
115,1
116,10
117,47
118,1
119,29
120,8
121,2
122,5
123,2
124,30
125,40
126,28
127,45
128,1
129,6
130,7
131,71
132,6
133,57
134,1
135,1
136,1
137,11
138,3
139,1
140,1
141,1
142,1
143,5
144,1
145,3
146,3
147,1
148,1
149,3
150,1
151,9
152,15
153,2
154,14
155,14
156,22
157,4
158,9
159,55
160,1
161,1
162,8
163,7
164,3
165,10
166,3
167,1
168,5
169,1
170,1
171,5
172,41
173,1
174,21
175,1
176,5
177,1
178,5
