date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,151,4546710_4547710,1,MAN,,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,136,4200880_4201480,1,CHN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2791340_2791780,1,CHN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2791780_2791940,2,CHN,ADS,2791340_2791780
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2791940_2792740,3,OLF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2792740_2793860,4,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2793860_2794010,5,CHN,IDS,2792740_2793860
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2794010_2795010,6,TVF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2795010_2795700,7,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2795700_2796110,8,CHN,ADS,2795010_2795700
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2796110_2797340,9,FAN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2797340_2798470,10,NOF,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2798470_2799290,11,OLN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2799290_2800670,12,FAN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2800670_2801910,13,OLF,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2801910_2802440,14,CHN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2802440_2802510,15,CHN,ADS,2801910_2802440
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2802510_2804420,16,FAN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,90,2804420_2805020,17,FAN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,48,1260230_1260830,1,CHN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,48,1260830_1262670,2,OLN,NEITHER,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,48,1262670_1264170,3,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,48,1264170_1267000,4,OLN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,48,1267000_1267700,5,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3482640_3484480,1,FAN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3484480_3485330,2,NOF,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3485330_3486190,3,SIL,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3486190_3487200,4,FAN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3487200_3488220,5,CHN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3488220_3489220,6,FAN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3489220_3489860,7,CHN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3489860_3490660,8,OLF,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3490660_3491120,9,CHN,ADS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3491120_3493010,10,CHN,IDS,3490660_3491120
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3493010_3494040,11,NOF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3494040_3495370,12,FAN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3495370_3496170,13,NOF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3496170_3496500,14,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3496500_3497030,15,CHN,IDS,3496170_3496500
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3497030_3497310,16,CHN,IDS,3496170_3496500
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3497310_3497530,17,CHN,IDS,3496170_3496500
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3497530_3498410,18,NOF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3498410_3499410,19,FAN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3499410_3500210,20,OLF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3500210_3500890,21,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3500890_3503600,22,FAN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3503600_3504400,23,OLF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3504400_3505000,24,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3505000_3506000,25,FAN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3506000_3506800,26,NOF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3506800_3507140,27,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3507140_3507520,28,CHN,IDS,3506800_3507140
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3507520_3509090,29,FAN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3509090_3510220,30,OLN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3510220_3510420,31,CHN,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3510420_3511000,32,CHN,IDS,3510220_3510420
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3511000_3511210,33,CHN,IDS,3510220_3510420
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3511210_3512010,34,OLF,IDS,N
03/18/2016,andrei,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,114,3512010_3513140,35,FAN,IDS,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2759540_2760590,1,FAN,,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2760590_2761990,2,NOF,,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2761990_2762790,3,SIL,,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2762790_2763610,4,NOF,,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2763610_2768160,5,FAN,,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2768160_2769180,6,SIL,,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2769180_2770310,7,NOF,,N
,,08_15_coderLN_final_short.cha,what_a_wonderful_world.wav,89,2770310_2772630,8,OLN,,N
